Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
2.793472416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.793576333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.793577416666667, 0, 1, 0, 1, 1, 1, 1, 1
2.794952666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.794978250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.794979250000000, 0, 1, 0, 1, 1, 1, 1, 1
2.795003833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.795003916666667, 0, 0, 1, 1, 1, 1, 1, 1
2.795029500000000, 0, 1, 1, 1, 1, 1, 1, 1
2.795030500000000, 0, 1, 0, 1, 1, 1, 1, 1
2.795055083333334, 0, 0, 1, 1, 1, 1, 1, 1
2.795183083333333, 0, 1, 1, 1, 1, 1, 1, 1
2.795184083333333, 0, 1, 0, 1, 1, 1, 1, 1
2.795234250000000, 0, 1, 1, 1, 1, 1, 1, 1
2.795234333333334, 0, 0, 1, 1, 1, 1, 1, 1
2.795387916666667, 0, 1, 1, 1, 1, 1, 1, 1
2.795388916666667, 0, 1, 0, 1, 1, 1, 1, 1
2.795413000000000, 0, 0, 1, 1, 1, 1, 1, 1
2.795438583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.795439583333334, 0, 1, 0, 1, 1, 1, 1, 1
2.795515416666667, 0, 0, 1, 1, 1, 1, 1, 1
2.795566583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.795567583333333, 0, 1, 0, 1, 1, 1, 1, 1
2.795592166666667, 0, 1, 1, 1, 1, 1, 1, 1
2.795592250000000, 0, 0, 1, 1, 1, 1, 1, 1
2.795617833333333, 0, 1, 1, 1, 1, 1, 1, 1
2.795618833333334, 0, 1, 0, 1, 1, 1, 1, 1
2.795669000000000, 0, 1, 1, 1, 1, 1, 1, 1
2.795669083333333, 0, 0, 1, 1, 1, 1, 1, 1
2.795694583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.795695583333333, 0, 1, 0, 1, 1, 1, 1, 1
2.796974666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.796974750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.797000333333334, 0, 1, 1, 1, 1, 1, 1, 1
2.797001333333334, 0, 1, 0, 1, 1, 1, 1, 1
2.797102666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.797102750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.797205083333334, 0, 1, 1, 1, 1, 1, 1, 1
2.797206083333334, 0, 1, 0, 1, 1, 1, 1, 1
2.810451583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.810451666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.810607583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.810608666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.810659583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.810659666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.810685583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.810686666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.810737583333334, 0, 1, 1, 1, 1, 1, 1, 1
2.810737666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.810763583333333, 0, 1, 1, 1, 1, 1, 1, 1
2.810764666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.810919666666667, 0, 0, 1, 1, 1, 1, 1, 1
2.810945666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.810946666666667, 0, 1, 0, 1, 1, 1, 1, 1
2.811023666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811023750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.811205666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811206750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.811309666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811309750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.811335666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811336750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.811595666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811595750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.811621666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811622750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.811647666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811647750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.811751666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811752750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.811881666666667, 0, 1, 1, 1, 1, 1, 1, 1
2.811881750000000, 0, 0, 1, 1, 1, 1, 1, 1
2.812089750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812090750000000, 0, 1, 0, 1, 1, 1, 1, 1
2.812167750000000, 0, 1, 1, 1, 1, 1, 1, 1
2.812167833333334, 0, 0, 1, 1, 1, 1, 1, 1
2.812245750000000, 0, 1, 1, 1, 1, 1, 1, 1
